"account_id","category","balance","debits","credits"
"a21sanZjcHRlbGl8f2ZoZXJ2ZWx4a3pmdmh9aHp2emttbmVi","ATM/Cash Withdrawals",-100,1,0
"a21sanZjcHRlbGl8f2ZoZXJ2ZWx4a3pmdmh9aHp2emttbmVi","Checks",-39182.84,39,0
"a21sanZjcHRlbGl8f2ZoZXJ2ZWx4a3pmdmh9aHp2emttbmVi","Gasoline/Fuel",0,0,0
"a21sanZjcHRlbGl8f2ZoZXJ2ZWx4a3pmdmh9aHp2emttbmVi","Groceries",0,0,0
"a21sanZjcHRlbGl8f2ZoZXJ2ZWx4a3pmdmh9aHp2emttbmVi","Mortgages",0,0,0
"a21sanZjcHRlbGl8f2ZoZXJ2ZWx4a3pmdmh9aHp2emttbmVi","Restaurants/Dining",-26.36,1,0
"a21sanZjcHRlbGl8f2ZoZXJ2ZWx4a3pmdmh9aHp2emttbmVi","Sales",0,0,0
"a21sanZjcHRlbGl8f2ZoZXJ2ZWx4a3pmdmh9aHp2emttbmVi","Taxes",-6907.52,1,0
"a21sanZjcHRlbGl8f2ZoZXJ2ZWx4a3pmdmh9aHp2emttbmVi","Wages Paid",0,0,0
"a21sanZjcHRlbGl8f2ZoZXJ2ZWx4a3pmdmh9aHp2emttbmVi","Overall",11574.41,240,192
"a21vf2h0fWZlanttfGZocn9pZWxwcXBmZXNrd21panl_f2hn","ATM/Cash Withdrawals",-5239.95,25,0
"a21vf2h0fWZlanttfGZocn9pZWxwcXBmZXNrd21panl_f2hn","Checks",-28641.09,25,0
"a21vf2h0fWZlanttfGZocn9pZWxwcXBmZXNrd21panl_f2hn","Gasoline/Fuel",-512.19,13,0
"a21vf2h0fWZlanttfGZocn9pZWxwcXBmZXNrd21panl_f2hn","Groceries",0,0,0
"a21vf2h0fWZlanttfGZocn9pZWxwcXBmZXNrd21panl_f2hn","Mortgages",0,0,0
"a21vf2h0fWZlanttfGZocn9pZWxwcXBmZXNrd21panl_f2hn","Restaurants/Dining",-20.64,1,0
